file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
5696_Useless.html,"When a girl is given a horse that has been deemed useless, she finds purpose in a world that’s lost its shine.","Drama,Sports",Rated 3.8 out of 5 stars by 388 Amazon customers.,388,1,IMDb 5.4,1 h 30 min,2020.0,X-Ray,,,13+,/gp/video/detail/B08CZ14LYH/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5698_Bloody_Hell.html,"Trying to stop an armed robbery, a military veteran accidentally killing a woman. After his release from prison, he hopes to escape his reputation with a trip to Finland - but his vacation is cut short when a freaky family abducts him with dark secrets. LA Times called this out-of-the-box action-comedy ""admirably unpredictable"". Certified Fresh on Rotten Tomatoes","Suspense,Horror",Rated 4.1 out of 5 stars by 1676 Amazon customers.,"1,676",1,IMDb 6.6,1 h 33 min,2021.0,X-Ray,,,R,/gp/video/detail/B08NSX38WG/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5699_The_Witch_Subversion.html,"A young girl, Ja-yoon lives with her adoptive parents after they found her alone in the woods and near death. When strange people start appearing in her life, she falls into turmoil as her seemingly ordinary life turns upside down in a blink of an eye. Featuring an award winning performance by Da-mi Kim and co-starring Woo-shik Choi from Parasite.","Science Fiction,Suspense",Rated 4.6 out of 5 stars by 1728 Amazon customers.,"1,728",1,IMDb 7.1,2 h 5 min,2018.0,X-Ray,,,18+,/gp/video/detail/B085G3FZ2W/ref=atv_dp_atf_prime_sd_mv_play_t1A3EAAAAAcwr0?autoplay=1&t=0
569_Kabhi_Khushi_Kabhie_Gham.html,"Yashvardhan Raichand is a snobbish man, he breaks ties with his elder son Rahul, for marrying a girl with lower social status. When his younger son Rohan returns home, he is upset to know that his brother no longer lives with them. Rohan decides to reunite his family and goes to London and finds Rahul. But, the question is will he be successful in convincing his egoistic father for a reunion?","Drama,International",Rated 4.7 out of 5 stars by 2011 Amazon customers.,"2,011",1,,3 h 29 min,2001.0,X-Ray,,,7+,/gp/video/detail/B095HZYNPB/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
5701_A_Woman_Deceived.html,"It’s been one year since Elizabeth’s husband, Bill, died in a tragic horseback riding accident and she is starting to move on. When she runs into Travis Brown, the cowboy she met the same weekend Bill died, the two immediately hit it off.  Travis is just what Elizabeth needed to come into her life and they soon get married.","Suspense,Drama",Rated 3 out of 5 stars by 20 Amazon customers.,20,1,IMDb 4.2,1 h 27 min,2017.0,X-Ray,,,R,/gp/video/detail/B072KGPTS6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5702_Walking_Tall.html,"Based on the true story of crusading sheriff Buford Pusser, who almost single-handedly cleaned up his small town of crime and corruption.","Action,Drama",Rated 4.6 out of 5 stars by 880 Amazon customers.,880,1,IMDb 6.9,2 h 5 min,1973.0,X-Ray,,,R,/gp/video/detail/B0136LFQX0/ref=atv_dp_atf_prime_sd_mv_play_t1A3EAAAAAdwr0?autoplay=1&t=0
5704_Cartoon_Classics__Vol_3_25_Favorite_Cartoons__3_Hours.html,"Enjoy 3 more hours of Classic Cartoons from the Golden Age of Animation. Cartoon characters include Bugs Bunny, Porky Pig, Daffy Duck, Betty Boop, Popeye, Little Lulu, Casper the Friendly Ghost, Felix the Cat, Superman and many more. Featuring vintage Looney Tunes, Merry Melodies, Happy Harmonies, Max Fleischer and Tex Avery cartoons with remastered sound.",Animation,Rated 4.5 out of 5 stars by 317 Amazon customers.,317,1,,2 h 53 min,2017.0,X-Ray,,,PG-13,/gp/video/detail/B071XNKHNK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5706_Europa_Report.html,"When unmanned probes suggest that a hidden ocean could exist underneath Europa's icy surface and may contain single-celled life, Europa Ventures, a privately funded space exploration company, sends six of the best astronauts from around the world to confirm the data and explore the revolutionary discovery.",Science Fiction,Rated 3.9 out of 5 stars by 2105 Amazon customers.,"2,105",1,IMDb 6.4,1 h 30 min,2013.0,X-Ray,,,13+,/gp/video/detail/B00DNUFCI4/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5707_Double_Daddy.html,"Starring Mollee Gray. 17-year-old Amanda is shocked that her boyfriend impregnated another girl-but even more so when she discovers she's also pregnant! Now, he must be there for both his teen moms.","Suspense,Drama",Rated 4.2 out of 5 stars by 231 Amazon customers.,231,1,IMDb 5.8,1 h 25 min,2015.0,X-Ray,,,16+,/gp/video/detail/B089ZSFRHS/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5709_Good_Bones.html,"22-year-old Danny O'Brien dedicates one last summer to his family's failing real estate agency in the Hamptons. But when he falls in love with the sophisticated girl next door, Clare, the summer becomes increasingly complicated.","Comedy,Romance",Rated 3.4 out of 5 stars by 44 Amazon customers.,44,1,IMDb 5.5,1 h 22 min,2018.0,X-Ray,,,16+,/gp/video/detail/B07FMFCN5Z/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
570_Breeder.html,"Mia discovers that a renowned cosmetics firm has an underground facility where bio-hacking experiments are performed on women. As she begins to investigate, she finds herself trapped in the human farm's bizarre web. Can she escape this nightmare?","Suspense,Horror",Rated 2.7 out of 5 stars by 26 Amazon customers.,26,1,IMDb 5.1,1 h 47 min,2020.0,X-Ray,,,18+,/gp/video/detail/B09NYLZVYR/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5710_Trump_Vs_The_Illuminati.html,"A clone of Donald J. Trump survives the Earth's destruction by escaping his maximum security lab and stowing-away aboard the last space-bound shuttle. Meanwhile, the human race continues to fight its most costly battle ever against Illuminati forces... for survival! Trump's clone joins forces with the surviving human allies to bring the battle straight to the Illuminati headquarters... in hell!","Animation,Science Fiction",Rated 2.5 out of 5 stars by 189 Amazon customers.,189,1,IMDb 2.2,1 h 9 min,2020.0,X-Ray,,,16+,/gp/video/detail/B08LR2XRQZ/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5713_Missing_411_The_Hunted.html,Hunters have disappeared from wildlands without a trace for hundreds of years. David Paulides presents the haunting true stories of hunters experiencing the unexplainable in the woods of North America.,Documentary,Rated 4.5 out of 5 stars by 5155 Amazon customers.,"5,155",1,IMDb 7.0,1 h 37 min,2019.0,X-Ray,,,13+,/gp/video/detail/B07TL1RH4T/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5714_My_Girlfriends_Boyfriend.html,"Jesse meets two Mr. Rights in a day. She is faced with the choice of having to choose one, except everything is not always as it seems in this light hearted tale of finding love twice.","Comedy,Drama",Rated 3.8 out of 5 stars by 491 Amazon customers.,491,1,IMDb 5.8,1 h 24 min,2010.0,X-Ray,,,PG,/gp/video/detail/B074WLPRL7/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5715_Black_Rock.html,Three women fight to survive when they find themselves the targets of a hunt on an empty island.,"Suspense,Horror",Rated 3.4 out of 5 stars by 489 Amazon customers.,489,1,IMDb 4.8,1 h 19 min,2013.0,X-Ray,,,R,/gp/video/detail/B00CU7VZC8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5716_A_Lonely_Woman.html,"A beautiful, docile and timid woman, transforms into a vengeful gunfighter in search for a group of murderers, but her villainous enemy is closer than she thinks.","Drama,Action",Rated 2.5 out of 5 stars by 17 Amazon customers.,17,1,IMDb 2.9,1 h 45 min,2018.0,X-Ray,,,16+,/gp/video/detail/B07N6PK9KF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5717_The_Winter_Lake.html,"When Holly's dark secret is accidentally uncovered by her new emotionally unstable neighbor Tom, they are pulled into a violent confrontation with her father, who will do anything to keep the secret hidden.","Suspense,Drama",Rated 3.8 out of 5 stars by 171 Amazon customers.,171,1,IMDb 4.6,1 h 31 min,2021.0,X-Ray,,,16+,/gp/video/detail/B08VFR8TNS/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
571_Escape_and_Evasion.html,"After his men are killed in Burma, Seth returns home in search of solace in the arms of his dead comrade's sister, Rebecca. She struggles her way through what she suspects is a military cover-up as Seth's reality spirals into disarray and imaginary soldiers inhabit his waking nightmares. Confronted by an unrelenting journalist, he's forced to face the ghosts of his past one last time.","Action,Suspense",Rated 4 out of 5 stars by 155 Amazon customers.,155,1,IMDb 4.7,1 h 32 min,2020.0,X-Ray,,,16+,/gp/video/detail/B0812CYVVM/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5721_The_Winter_Palace.html,"A novelist with a severe case of writer’s block is given the chance to finish her book at an empty winter chateau. She’s surprised when the property’s owner, a prince, decides to come stay as well.","Drama,Romance",Rated 4.1 out of 5 stars by 67 Amazon customers.,67,1,IMDb 6.2,1 h 24 min,2022.0,X-Ray,,,7+,/gp/video/detail/B09PJHXN2L/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5722_All_About_Sex.html,"All About Sex follows the lives of three mid-20's friends, Casey, Morgan and Sage, each caught in the grip of a quarter-life crisis as they meander through the messy, embarrassing and confusing pitfalls that come with ""adulting"".","Comedy,Drama",Rated 3.7 out of 5 stars by 73 Amazon customers.,73,1,IMDb 4.8,1 h 44 min,2020.0,X-Ray,,,18+,/gp/video/detail/B0943ZVPJV/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5723_Richard_the_Lionheart_Rebellion.html,"King Henry II's wife, Queen Eleanor, is captured and imprisoned by the king himself, so Richard and his brothers lead the fight against their father in a heartless war.","Drama,Adventure,Action",Rated 3 out of 5 stars by 76 Amazon customers.,76,1,IMDb 2.6,1 h 40 min,2020.0,X-Ray,,,18+,/gp/video/detail/B0B8HV8QVN/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
