g-spine,g-img,g-title,g-director,g-country,g-year,link
1208,,The Roaring Twenties,Raoul Walsh,"United States,",1939,https://www.criterion.com/films/29030-the-roaring-twenties
832,,The Story of the Last Chrysanthemum,Kenji Mizoguchi,"Japan,",1939,https://www.criterion.com/films/27729-the-story-of-the-last-chrysanthemum
1114,,Love Affair,Leo McCarey,"United States,",1939,https://www.criterion.com/films/32533-love-affair
559,,The Mikado,Victor Schertzinger,"United Kingdom,",1939,https://www.criterion.com/films/27551-the-mikado
1144,,Prisioneros de la tierra,Mario Soffici,"Argentina,",1939,https://www.criterion.com/films/30308-prisioneros-de-la-tierra
516,,Stagecoach,John Ford,"United States,",1939,https://www.criterion.com/films/980-stagecoach
1147,,Two Girls on the Street,André de Toth,"Hungary,",1939,https://www.criterion.com/films/30309-two-girls-on-the-street
1024,,Destry Rides Again,George Marshall,"United States,",1939,https://www.criterion.com/films/29002-destry-rides-again
216,,The Rules of the Game,Jean Renoir,"France,",1939,https://www.criterion.com/films/295-the-rules-of-the-game
1028,,"Dance, Girl, Dance",Dorothy Arzner,"United States,",1940,https://www.criterion.com/films/29633-dance-girl-dance
901,,The Philadelphia Story,George Cukor,"United States,",1940,https://www.criterion.com/films/29029-the-philadelphia-story
,,June Night,Per Lindberg,"Sweden,",1940,https://www.criterion.com/films/28870-june-night
565,,The Great Dictator,Charles Chaplin,"United States,",1940,https://www.criterion.com/films/27605-the-great-dictator
373,,The Proud Valley,Pen Tennyson,"United Kingdom,",1940,https://www.criterion.com/films/813-the-proud-valley
431,,The Thief of Bagdad,"Ludwig Berger, Michael Powell, and Tim Whelan","United Kingdom,",1940,https://www.criterion.com/films/544-the-thief-of-bagdad
696,,Foreign Correspondent,Alfred Hitchcock,"United States,",1940,https://www.criterion.com/films/27692-foreign-correspondent
135,,Rebecca,Alfred Hitchcock,"United States,",1940,https://www.criterion.com/films/680-rebecca
78,,The Bank Dick,Edward Cline,"United States,",1940,https://www.criterion.com/films/617-the-bank-dick
523,,Night Train to Munich,Carol Reed,"United Kingdom,",1940,https://www.criterion.com/films/25039-night-train-to-munich
849,,His Girl Friday,Howard Hawks,"United States,",1940,https://www.criterion.com/films/27903-his-girl-friday
,,Remorques,Jean Grémillon,"France,",1941,https://www.criterion.com/films/27677-remorques
,,Ornamental Hairpin,Hiroshi Shimizu,"Japan,",1941,https://www.criterion.com/films/1089-ornamental-hairpin
1099,,High Sierra,Raoul Walsh,"United States,",1941,https://www.criterion.com/films/29019-high-sierra
103,,The Lady Eve,Preston Sturges,"United States,",1941,https://www.criterion.com/films/639-the-lady-eve
819,,Here Comes Mr. Jordan,Alexander Hall,"United States,",1941,https://www.criterion.com/films/27902-here-comes-mr-jordan
,,Major Barbara,Gabriel Pascal,"United Kingdom,",1941,https://www.criterion.com/films/9904-major-barbara
118,,Sullivan’s Travels,Preston Sturges,"United States,",1941,https://www.criterion.com/films/657-sullivan-s-travels
1104,,Citizen Kane,Orson Welles,"United States,",1941,https://www.criterion.com/films/32250-citizen-kane
214,,All That Money Can Buy (a.k.a. The Devil and Daniel Webster),William Dieterle,"United States,",1941,https://www.criterion.com/films/622-all-that-money-can-buy-a-k-a-the-devil-and-daniel-webster
487,,That Hamilton Woman,Alexander Korda,"United Kingdom,",1941,https://www.criterion.com/films/3559-that-hamilton-woman
376,,49th Parallel,Michael Powell,"United Kingdom,",1941,https://www.criterion.com/films/520-49th-parallel
,,Jungle Book,Zoltán Korda,"United Kingdom,",1942,https://www.criterion.com/films/27649-jungle-book
742,,The Palm Beach Story,Preston Sturges,"United States,",1942,https://www.criterion.com/films/28103-the-palm-beach-story
604,,In Which We Serve,David Lean…,"United Kingdom,",1942,https://www.criterion.com/films/28185-in-which-we-serve
,,Native Land,Leo Hurwitz…,"United States,",1942,https://www.criterion.com/films/814-native-land
676,,I Married a Witch,René Clair,"United States,",1942,https://www.criterion.com/films/27771-i-married-a-witch
526,,There Was a Father,Yasujiro Ozu,"Japan,",1942,https://www.criterion.com/films/22839-there-was-a-father
952,,The Magnificent Ambersons,Orson Welles,"United States,",1942,https://www.criterion.com/films/28711-the-magnificent-ambersons
1004,,"Now, Voyager",Irving Rapper,"United States,",1942,https://www.criterion.com/films/29026-now-voyager
833,,Cat People,Jacques Tourneur,"United States,",1942,https://www.criterion.com/films/28696-cat-people
626,,Les visiteurs du soir,Marcel Carné,"France,",1942,https://www.criterion.com/films/27685-les-visiteurs-du-soir
867,,Woman of the Year,George Stevens,"United States,",1942,https://www.criterion.com/films/29137-woman-of-the-year
,,Le mariage de Chiffon,Claude Autant-Lara,"France,",1942,https://www.criterion.com/films/27976-le-mariage-de-chiffon
670,,To Be or Not to Be,Ernst Lubitsch,"United States,",1942,https://www.criterion.com/films/27690-to-be-or-not-to-be
,,Lettres d’amour,Claude Autant-Lara,"France,",1942,https://www.criterion.com/films/29404-lettres-d-amour
615,,The Gold Rush,Charles Chaplin,"United States,",1942,https://www.criterion.com/films/27565-the-gold-rush
173,,The Life and Death of Colonel Blimp,Michael Powell and Emeric Pressburger,"United Kingdom,",1943,https://www.criterion.com/films/359-the-life-and-death-of-colonel-blimp
,,Port of Flowers,Keisuke Kinoshita,"Japan,",1943,https://www.criterion.com/films/28238-port-of-flowers
,,Lumière d’été,Jean Grémillon,"France,",1943,https://www.criterion.com/films/28125-lumiere-d-ete
227,,Le Corbeau,Henri-Georges Clouzot,"France,",1943,https://www.criterion.com/films/684-le-corbeau
,,Sanshiro Sugata,Akira Kurosawa,"Japan,",1943,https://www.criterion.com/films/12521-sanshiro-sugata
,,The Living Magoroku,Keisuke Kinoshita,"Japan,",1943,https://www.criterion.com/films/27863-the-living-magoroku
,,The Man in Grey,Leslie Arliss,"United Kingdom,",1943,https://www.criterion.com/films/28018-the-man-in-grey
125,,Day of Wrath,Carl Th. Dreyer,"Denmark,",1943,https://www.criterion.com/films/442-day-of-wrath
,,Douce,Claude Autant-Lara,"France,",1943,https://www.criterion.com/films/27977-douce
291,,Heaven Can Wait,Ernst Lubitsch,"United States,",1943,https://www.criterion.com/films/878-heaven-can-wait
323,,The Children Are Watching Us,Vittorio De Sica,"Italy,",1944,https://www.criterion.com/films/772-the-children-are-watching-us
1153,,Arsenic and Old Lace,Frank Capra,"United States,",1944,https://www.criterion.com/films/29005-arsenic-and-old-lace
,,Jubilation Street,Keisuke Kinoshita,"Japan,",1944,https://www.criterion.com/films/27837-jubilation-street
,,Torment,Alf Sjöberg,"Sweden,",1944,https://www.criterion.com/films/641-torment
41,,Henry V,Laurence Olivier,"United Kingdom,",1944,https://www.criterion.com/films/579-henry-v
649,,Ministry of Fear,Fritz Lang,"United States,",1944,https://www.criterion.com/films/28065-ministry-of-fear
605,,This Happy Breed,David Lean,"United Kingdom,",1944,https://www.criterion.com/films/28144-this-happy-breed
677,,The Uninvited,Lewis Allen,"United States,",1944,https://www.criterion.com/films/27964-the-uninvited
341,,A Canterbury Tale,Michael Powell and Emeric Pressburger,"United Kingdom,",1944,https://www.criterion.com/films/785-a-canterbury-tale
,,The Most Beautiful,Akira Kurosawa,"Japan,",1944,https://www.criterion.com/films/18790-the-most-beautiful
88,,"Ivan the Terrible, Part I",Sergei Eisenstein,"Soviet Union,",1944,https://www.criterion.com/films/625-ivan-the-terrible-part-i
,,Army,Keisuke Kinoshita,"Japan,",1944,https://www.criterion.com/films/27831-army
1126,,Double Indemnity,Billy Wilder,"United States,",1944,https://www.criterion.com/films/30460-double-indemnity
,,Le ciel est à vous,Jean Grémillon,"France,",1944,https://www.criterion.com/films/27722-le-ciel-est-a-vous
94,,I Know Where I’m Going!,Michael Powell and Emeric Pressburger,"United Kingdom,",1945,https://www.criterion.com/films/633-i-know-where-i-m-going
76,,Brief Encounter,David Lean,"United Kingdom,",1945,https://www.criterion.com/films/345-brief-encounter
1020,,Leave Her to Heaven,John M. Stahl,"United States,",1945,https://www.criterion.com/films/29602-leave-her-to-heaven
141,,Children of Paradise,Marcel Carné,"France,",1945,https://www.criterion.com/films/683-children-of-paradise
,,"Sanshiro Sugata, Part Two",Akira Kurosawa,"Japan,",1945,https://www.criterion.com/films/12522-sanshiro-sugata-part-two
,,Caesar and Cleopatra,Gabriel Pascal,"United Kingdom,",1945,https://www.criterion.com/films/11334-caesar-and-cleopatra
966,,Detour,Edgar G. Ulmer,"United States,",1945,https://www.criterion.com/films/29614-detour
,,Madonna of the Seven Moons,Arthur Crabtree,"United Kingdom,",1945,https://www.criterion.com/films/28019-madonna-of-the-seven-moons
606,,Blithe Spirit,David Lean,"United Kingdom,",1945,https://www.criterion.com/films/28156-blithe-spirit
860,,Mildred Pierce,Michael Curtiz,"United States,",1945,https://www.criterion.com/films/29025-mildred-pierce
,,The Men Who Tread on the Tiger’s Tail,Akira Kurosawa,"Japan,",1945,https://www.criterion.com/films/18763-the-men-who-tread-on-the-tiger-s-tail
497,,Rome Open City,Roberto Rossellini,"Italy,",1945,https://www.criterion.com/films/975-rome-open-city
,,The Wicked Lady,Leslie Arliss,"United Kingdom,",1945,https://www.criterion.com/films/28017-the-wicked-lady
136,,Spellbound,Alfred Hitchcock,"United States,",1945,https://www.criterion.com/films/681-spellbound
183,,Les dames du Bois de Boulogne,Robert Bresson,"France,",1945,https://www.criterion.com/films/451-les-dames-du-bois-de-boulogne
732,,My Darling Clementine,John Ford,"United States,",1946,https://www.criterion.com/films/28570-my-darling-clementine
137,,Notorious,Alfred Hitchcock,"United States,",1946,https://www.criterion.com/films/682-notorious
939,,A Matter of Life and Death,Michael Powell and Emeric Pressburger,"United Kingdom,",1946,https://www.criterion.com/films/28833-a-matter-of-life-and-death
795,,Gilda,Charles Vidor,"United States,",1946,https://www.criterion.com/films/27909-gilda
955,,Panique,Julien Duvivier,"France,",1946,https://www.criterion.com/films/29510-panique
,,Sylvie et le fantôme,Claude Autant-Lara,"France,",1946,https://www.criterion.com/films/28161-sylvie-et-le-fantome
31,,Great Expectations,David Lean,"United Kingdom,",1946,https://www.criterion.com/films/566-great-expectations
6,,Beauty and the Beast,Jean Cocteau,"France,",1946,https://www.criterion.com/films/177-beauty-and-the-beast
997,,Cluny Brown,Ernst Lubitsch,"United States,",1946,https://www.criterion.com/films/28564-cluny-brown
,,No Regrets for Our Youth,Akira Kurosawa,"Japan,",1946,https://www.criterion.com/films/887-no-regrets-for-our-youth
375,,Green for Danger,Sidney Gilliat,"United Kingdom,",1946,https://www.criterion.com/films/815-green-for-danger
498,,Paisan,Roberto Rossellini,"Italy,",1946,https://www.criterion.com/films/2415-paisan
,,Morning for the Osone Family,Keisuke Kinoshita,"Japan,",1946,https://www.criterion.com/films/27838-morning-for-the-osone-family
,,Crisis,Ingmar Bergman,"Sweden,",1946,https://www.criterion.com/films/642-crisis
,,The Killers,Robert Siodmak,"United States,",1946,https://www.criterion.com/films/724-the-killers
750,,Ride the Pink Horse,Robert Montgomery,"United States,",1947,https://www.criterion.com/films/28066-ride-the-pink-horse
,,One Wonderful Sunday,Akira Kurosawa,"Japan,",1947,https://www.criterion.com/films/888-one-wonderful-sunday
383,,Brute Force,Jules Dassin,"United States,",1947,https://www.criterion.com/films/820-brute-force
