file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1758_Computer_Chess.html,"Set over the course of a weekend tournament for chess software programmers thirty-some years ago, Computer Chess transports viewers to a nostalgic moment when the contest between technology and the human spirit seemed a little more up for grabs.",Comedy,Rated 3.6 out of 5 stars by 69 Amazon customers.,69,1,IMDb 6.2,1 h 31 min,2013,16+,/gp/video/detail/B00F2QCOM4/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1759_Zulu_Summer.html,"After receiving a suspicious e-mail from an African prince, a radio DJ in small-town Montana forges an international alliance that will change the lives of people continents apart.",Documentary,Rated 4.4 out of 5 stars by 19 Amazon customers.,19,1,IMDb 7.9,1 h 19 min,2019,13+,/gp/video/detail/B07RV5PQH6/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1760_Andover.html,"A genetics professor attempts to clone his dead wife, but each version he creates is different than the original version of her. In a desperate attempt to get the truest version of her back, he ends up cloning her over and over again.","Science Fiction,Comedy,Drama,Romance",Rated 3.1 out of 5 stars by 47 Amazon customers.,47,1,IMDb 5.3,1 h 31 min,2018,16+,/gp/video/detail/B07CNNNM7G/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1761_Armed.html,Chief is a former US Marshall who has fallen on hard times after he led his team of under-cover agents on a raid that went horribly wrong. As Chief struggles to get his life back on track a former colleague reappears in his life and explains that all of the survivors from his unit are suffering the same symptoms he is and that there may be a larger conspiracy at hand.,"Suspense,Drama",Rated 3.5 out of 5 stars by 77 Amazon customers.,77,1,IMDb 3.5,2h,2018,R,/gp/video/detail/B07QC4YL47/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1762_Altered_Minds.html,A tormented son who makes a desperate bid to save his sanity by unearthing family secrets before his father dies.,"Suspense,Drama",Rated 3.8 out of 5 stars by 214 Amazon customers.,214,1,IMDb 6.0,1 h 32 min,2015,16+,/gp/video/detail/B017PU3T7S/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1763_Backfire.html,"After a botched robbery escalates to homicide, a North Philly gun runner has to escape or outsmart the South Philly Italian mob as they close in for vengeance.","Drama,Action",Rated 2.8 out of 5 stars by 36 Amazon customers.,36,1,IMDb 3.6,1 h 36 min,2019,18+,/gp/video/detail/B07N4B7313/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1764_12_Dog_Days_Till_Christmas.html,"A troubled foster teen ends up having to work at an animal shelter.  When he finds out the shelter is closing, he will have 12 days and a Christmas Miracle to find homes for the unwanted dogs.","Comedy,Drama",Rated 3.9 out of 5 stars by 85 Amazon customers.,85,1,IMDb 4.7,1 h 28 min,2014,7+,/gp/video/detail/B00QBY2C82/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1765_Charmageddon.html,"Hal Sparks has been called one of the top five stand-up comedians working today. His smart, straight edge writing and razor-sharp wit are in full force in this jam-packed one hour special.","Comedy,Arts, Entertainment, and Culture",Rated 4.1 out of 5 stars by 75 Amazon customers.,75,1,IMDb 7.1,1 h 3 min,2010,18+,/gp/video/detail/B08BZ1388W/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1766_Six_Dance_Lessons_in_Six_Weeks.html,"Gena Rowlands (The Notebook) stars as the crusty 75-year-old South Florida matron Lily Harrison, who unexpectedly develops a remarkable, life-changing friendship with her much younger, gay dance instructor.","Comedy,Drama",Rated 3.8 out of 5 stars by 847 Amazon customers.,847,1,IMDb 6.5,1 h 47 min,2014,13+,/gp/video/detail/B078TRX7P6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1767_Kevin_Hart_Presents_Keith_Robinson__Back_of_the_Bus_Funny.html,"Kevin Hart presents comedy club legend Keith Robinson, who brings his in-your-face style to everything from the moment he stopped liking his own son to the real reason why Obama was elected. It's everything you might expect from the man who taught Kevin Hart how to be a comedian.","Arts, Entertainment, and Culture",Rated 3.8 out of 5 stars by 11 Amazon customers.,11,1,,1 h 7 min,2015,18+,/gp/video/detail/B07N8KQQPQ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
