file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
5774_Creepshow_2.html,"The rotting Creep himself is back with three new gruesome tales of horror that will make your skin crawl: a cigar store wooden Indian comes to life to avenge the store owner's brutal murder at the hands of three punks in ""Ol' Chief Woodenhead."" The chills continue with ""The Hitchhiker,"" the chilling tale of a woman who keeps running into, and over, the same mutilated man on a lonely road.","Horror,Fantasy",Rated 4.7 out of 5 stars by 2653 Amazon customers.,"2,653",1,IMDb 6.0,1 h 29 min,1987,X-Ray,,,R,/gp/video/detail/B07QJSTMW5/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5775_Sita_Ramam.html,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Refused to apologize, Afreen is asked to return 1 Million in 1 month. Angered Afreen comes back to Pakistan to get the money from her grandfather. The late grandfather assigns a letter delivering task to Afreen, written by Ram to Sita. Afreen sets out to find Ram and gradually unveils the story of Sita and Ram.","Action,Drama,International",Rated 4.7 out of 5 stars by 403 Amazon customers.,403,1,IMDb 8.6,2 h 38 min,2022,X-Ray,,UHD,13+,/gp/video/detail/B0B6GQHR7W/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
5776_Jeff_Leeson_Grandma_Used_To_Heckle_Me.html,"A masterful blend of traditional stand-up comedy and long form improv taking the audience on a journey while they witness the show being created right in front of their eyes as Canadian comedian Jeff Leeson delights us with his off the cuff, freewheeling style of stand-up.","Comedy,Arts, Entertainment, and Culture",Rated 3.4 out of 5 stars by 11 Amazon customers.,11,1,IMDb 4.3,58min,2023,,,,18+,/gp/video/detail/B0B65PW27Y/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5777_Peanuts_Bon_Voyage_Charlie_Brown.html,Charlie Brown and his friends travel to Europe as exchange students. Animated.,"Comedy,Animation",Rated 4.8 out of 5 stars by 651 Amazon customers.,651,1,IMDb 7.1,1 h 15 min,1980,X-Ray,,,G,/gp/video/detail/B016NGCXB8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5778_ETs_Among_Us_3_Secret_Space_Program_Alien_Psychics__Crop_Circle_Clues.html,"Episode 3 in Cybela Clare's award-winning ""ETs Among Us"" series covers even more uncharted territory: a top secret space program run by humans, alien telepathy and human/ET communicators/translators, and new areas of the alien abduction phenomenon. Award-winning researcher Linda Moulton Howe reveals surprising clues, analyzing the ongoing and decades-long worldwide crop circle phenomenon.",Documentary,Rated 3.6 out of 5 stars by 80 Amazon customers.,80,1,IMDb 6.9,58min,2018,,,,13+,/gp/video/detail/B07LFMS4NL/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5779_Hamptons_Legion.html,"When the Confederacy can no longer finance massive armies, Wade Hampton III, using his own money started, financed, and supplied his own infantry, cavalry, and artillery to help fight the war.","Action,Military and War",Rated 1.6 out of 5 stars by 31 Amazon customers.,31,1,IMDb 2.3,1 h 20 min,2021,X-Ray,,,13+,/gp/video/detail/B096XCR27K/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
577_Slashlorette_Party.html,"An anxious young woman is taken to a cabin in the woods to celebrate her bachelorette party. The fun and games are cut short when an uninvited guest begins killing off the wedding party, one by one.",Horror,Rated 2.4 out of 5 stars by 35 Amazon customers.,35,1,IMDb 3.4,1 h 18 min,2021,,,,18+,/gp/video/detail/B09DFQ552B/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5780_Gordon_Lightfoot_If_You_Could_Read_My_Mind.html,"The iconic Canadian musician, Gordon Lightfoot, reflects on his life and career.","Documentary,Music Videos and Concerts",Rated 4.7 out of 5 stars by 2146 Amazon customers.,"2,146",1,IMDb 7.8,1 h 30 min,2020,,,,16+,/gp/video/detail/B08HC5SQVK/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
5781_The_Extraordinary_Tale_of_William_Buckley_The_great_untold_story_of_Australias_Robinson_Crusoe.html,"This docudrama tells the remarkable true story of a convict who was sent from Britain to Australia for possessing a bolt of stolen cloth. He escaped, and spent the next 32 years living with an Aboriginal tribe. Thought initially to be a spirit by his new community, he learned the native culture and became an integral member. His harrowing account is one of the greatest survival stories ever told.","International,Documentary",Rated 4.2 out of 5 stars by 591 Amazon customers.,591,1,IMDb 7.1,53min,2010,,,,ALL,/gp/video/detail/B00YK871AK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5782_Creature_Cabin.html,"After losing her boyfriend, a young woman travels to a remote cabin rumored to be haunted. Once there, she must battle against a cabal of demonic monsters and cultists who emerge in an attempt to create hell on earth.","International,Comedy,Horror",Rated 3.1 out of 5 stars by 27 Amazon customers.,27,1,IMDb 3.3,1 h 23 min,2020,X-Ray,,,16+,/gp/video/detail/B08QMGPGGQ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
