title,link,tags,year,clean_title,fname,short_url,clean_short_url
V (Malayalam),/V-Malayalam-Nani/dp/B08Y98Q4LT/ref=sr_1_2069?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2069,2020|CC,2020.0,V_Malayalam,564_V_Malayalam,/V-Malayalam-Nani/,/V-Malayalam-Nani/
Padmavyuha,/Padmavyuha-Laksh/dp/B09HSXYQDC/ref=sr_1_2070?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2070,2020|CC,2020.0,Padmavyuha,565_Padmavyuha,/Padmavyuha-Laksh/,/Padmavyuha-Laksh/
Yuvarathnaa (Tamil),/Yuvarathnaa-Tamil-Puneeth-Rajkumar/dp/B092FYBMF9/ref=sr_1_2071?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2071,2021|CC,2021.0,Yuvarathnaa_Tamil,566_Yuvarathnaa_Tamil,/Yuvarathnaa-Tamil-Puneeth-Rajkumar/,/Yuvarathnaa-Tamil-Puneeth-Rajkumar/
MAD,/MAD-Rajath-Raghav/dp/B09F31M4W1/ref=sr_1_2072?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2072,2021|CC,2021.0,MAD,567_MAD,/MAD-Rajath-Raghav/,/MAD-Rajath-Raghav/
Imperial Blue,/Imperial-Blue-Nicolas-Fagerberg/dp/B08XVZW15N/ref=sr_1_2073?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2073,2021|TV-MA|CC,2021.0,Imperial_Blue,568_Imperial_Blue,/Imperial-Blue-Nicolas-Fagerberg/,/Imperial-Blue-Nicolas-Fagerberg/
Ardha Shathabdham,/Ardha-Shathabdham-Karthik-Rathnam/dp/B09HYR13W8/ref=sr_1_2074?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2074,2021|CC,2021.0,Ardha_Shathabdham,569_Ardha_Shathabdham,/Ardha-Shathabdham-Karthik-Rathnam/,/Ardha-Shathabdham-Karthik-Rathnam/
Tuck Jagadish (Kannada),/Tuck-Jagadish-Kannada-Nani/dp/B09GW7KZ19/ref=sr_1_2075?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2075,2021|CC,2021.0,Tuck_Jagadish_Kannada,570_Tuck_Jagadish_Kannada,/Tuck-Jagadish-Kannada-Nani/,/Tuck-Jagadish-Kannada-Nani/
My Summer As A Goth,/My-Summer-Goth-Natalie-Shershow/dp/B08MF8H2W2/ref=sr_1_2076?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2076,2020|CC,2020.0,My_Summer_As_A_Goth,571_My_Summer_As_A_Goth,/My-Summer-Goth-Natalie-Shershow/,/My-Summer-Goth-Natalie-Shershow/
Taana,/Taana-Vaibhav/dp/B09FBQS89D/ref=sr_1_2077?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2077,2020|CC,2020.0,Taana,572_Taana,/Taana-Vaibhav/,/Taana-Vaibhav/
Pachchis,/Pachchis-Raamz/dp/B096TMZN8H/ref=sr_1_2078?qid=1692082559&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2078,2021|CC,2021.0,Pachchis,573_Pachchis,/Pachchis-Raamz/,/Pachchis-Raamz/
