imdb,high_matches,avg_score,coverage,title,script_url,filename,char_fname
0108149,0.6875,85.39583333333333,0.9380733944954128,Six Degrees of Separation,https://imsdb.com/scripts/Six-Degrees-of-Separation.html,Six-Degrees-of-Separation,Six-Degrees-of-Separation_charinfo.txt
0108160,0.75,86.225,0.9716466739367504,Sleepless in Seattle,http://www.awesomefilm.com/script/s_seatl.html,Sleepless-in-Seattle,Sleepless-in-Seattle_charinfo.txt
0108174,0.6451612903225806,78.90322580645162,0.9619377162629758,So I Married an Axe Murderer,https://sfy.ru/?script=so_i_married_an_axe_murderer_1993,So-I-Married-an-Axe-Murderer,So-I-Married-an-Axe-Murderer_charinfo.txt
0108200,0.3636363636363636,60.90909090909091,0.9768076398362892,"Spare Me, Great Lord!",https://www.dailyscript.com/scripts/spareme.html,Spare-Me,Spare-Me_charinfo.txt
0108327,0.5789473684210527,77.94736842105263,0.9904255319148936,The Thing Called Love,https://sfy.ru/?script=thing_called_love_1993,Thing-Called-Love-The,Thing-Called-Love-The_charinfo.txt
0108330,0.9565217391304348,93.95652173913044,0.9643366619115548,This Boy's Life,https://www.dailyscript.com/scripts/This_Boys_Life.pdf,This-Boys-Life,This-Boys-Life_charinfo.txt
0108333,0.6774193548387096,83.41935483870968,0.9769392033542976,The Three Musketeers: D'Artagnan,https://www.dailyscript.com/scripts/three_musketeers.pdf,The-Three-Musketeers,The-Three-Musketeers_charinfo.txt
0108358,0.7692307692307693,84.9423076923077,0.9839924670433146,Tombstone,https://www.dailyscript.com/scripts/tombstone.pdf,Tombstone,Tombstone_charinfo.txt
0108399,0.8,86.43333333333334,0.987878787878788,True Romance,http://www.awesomefilm.com/script/trueromance.html,True-Romance,True-Romance_charinfo.txt
0108558,0.5625,78.75,0.9741035856573704,White Angel,https://sfy.ru/?script=white_angel,White-Angel,White-Angel_charinfo.txt
0109040,0.6923076923076923,85.33333333333333,0.9204545454545454,Ace Ventura: Pet Detective,https://www.dailyscript.com/scripts/ace_ventura_shoot.html,Ace-Ventura-Pet-Detective,Ace-Ventura-Pet-Detective_charinfo.txt
0109445,0.5806451612903226,78.25806451612904,0.9933110367892976,Clerks,https://www.dailyscript.com/scripts/Clerks.txt,Clerks,Clerks_charinfo.txt
0109450,0.7,83.475,0.952802359882006,Cobb,https://www.dailyscript.com/scripts/cobb.pdf,Cobb,Cobb_charinfo.txt
0109456,0.5,74.86363636363636,0.9796640141467728,Color of Night,https://imsdb.com/scripts/Color-of-Night.html,Color-of-Night,Color-of-Night_charinfo.txt
0109506,0.782608695652174,90.21739130434784,0.9686346863468634,The Crow,https://imsdb.com/scripts/Crow%2C-The.html,Crow-The,Crow-The_charinfo.txt
0109686,0.6666666666666666,82.33333333333333,0.984799131378936,Dumb and Dumber,https://sfy.ru/?script=dumb_and_dumber,Dumb-and-Dumber,Dumb-and-Dumber_charinfo.txt
0109707,0.82,89.6,0.9762912785774768,Ed Wood,https://imsdb.com/scripts/Ed-Wood.html,Ed-Wood,Ed-Wood_charinfo.txt
0109813,0.4074074074074074,69.33333333333333,0.9280245022970904,The Flintstones,https://www.dailyscript.com/scripts/The_Flintstones.pdf,The-Flintstones,The-Flintstones_charinfo.txt
0109836,0.7333333333333333,88.26666666666667,0.9781659388646288,Mary Shelley's Frankenstein,https://www.dailyscript.com/scripts/Frankenstein%2B%281994%29.txt,Frankenstein-(1994),Frankenstein-(1994)_charinfo.txt
0109838,0.5853658536585366,77.8780487804878,0.9269282814614344,Freaked,https://imsdb.com/scripts/Freaked.html,Freaked,Freaked_charinfo.txt
0110005,1.0,99.0,0.9981024667931688,Heavenly Creatures,https://imsdb.com/scripts/Heavenly-Creatures.html,Heavenly-Creatures,Heavenly-Creatures_charinfo.txt
0110074,0.525,77.55,0.9632911392405064,The Hudsucker Proxy,https://imsdb.com/scripts/Hudsucker-Proxy%2C-The.html,Hudsucker-Proxy-The,Hudsucker-Proxy-The_charinfo.txt
0110097,0.8,84.31428571428572,0.9609856262833676,I'll Do Anything,https://sfy.ru/?script=i_ll_do_anything_1994,Ill-Do-Anything,Ill-Do-Anything_charinfo.txt
0110148,0.8333333333333334,90.44444444444444,0.9851485148514852,Interview with the Vampire,https://imsdb.com/scripts/Interview-with-the-Vampire.html,Interview-with-the-Vampire,Interview-with-the-Vampire_charinfo.txt
0110265,0.9473684210526316,96.78947368421052,0.998678996036988,Killing Zoe,https://imsdb.com/scripts/Killing-Zoe.html,Killing-Zoe,Killing-Zoe_charinfo.txt
0110413,0.7857142857142857,86.07142857142857,0.9676025917926566,Leon: The Professional,https://sfy.ru/?script=leon_ds,Leon,Leon_charinfo.txt
0110475,0.673469387755102,82.75510204081633,0.9380116959064329,The Mask,https://imsdb.com/scripts/Mask%2C-The.html,Mask-The,Mask-The_charinfo.txt
0110604,0.8947368421052632,91.89473684210526,0.995260663507109,Mute Witness,https://imsdb.com/scripts/Mute-Witness.html,Mute-Witness,Mute-Witness_charinfo.txt
0110632,0.8055555555555556,84.91666666666667,0.9657794676806084,Natural Born Killers,https://www.dailyscript.com/scripts/natural-born-killers_shoot.html,Natural-Born-Killers,Natural-Born-Killers_charinfo.txt
0110737,0.5862068965517241,76.48275862068965,0.9848078641644326,Only You,http://www.awesomefilm.com/script/onlyyou.txt,Only-You,Only-You_charinfo.txt
0111127,0.6666666666666666,87.21428571428571,0.946099290780142,Serial Mom,https://www.dailyscript.com/scripts/Serial%2BMom.txt,Serial-Mom,Serial-Mom_charinfo.txt
0111149,0.8571428571428571,88.42857142857143,0.9883720930232558,Shallow Grave,https://imsdb.com/scripts/Shallow-Grave.html,Shallow-Grave,Shallow-Grave_charinfo.txt
0111161,0.8571428571428571,89.4,0.978616352201258,The Shawshank Redemption,https://sfy.ru/?script=shawshank,The-Shawshank-Redemption,The-Shawshank-Redemption_charinfo.txt
0111257,0.7692307692307693,86.56410256410257,0.9008567931456548,Speed,https://www.dailyscript.com/scripts/Speed.pdf,Speed,Speed_charinfo.txt
0111280,0.8571428571428571,91.14285714285714,0.9757738896366084,Star Trek: Generations,https://imsdb.com/scripts/Star-Trek-Generations.html,Star-Trek-Generations,Star-Trek-Generations_charinfo.txt
0111503,0.7222222222222222,86.72222222222223,0.9790123456790124,True Lies,https://imsdb.com/scripts/True-Lies.html,True-Lies,True-Lies_charinfo.txt
0111686,0.7307692307692307,85.23076923076923,0.9724770642201837,New Nightmare,https://www.dailyscript.com/scripts/WesCravensNewNightmare.txt,New-Nightmare,New-Nightmare_charinfo.txt
0112346,0.8787878787878788,89.78787878787878,0.9805335255948088,The American President,https://imsdb.com/scripts/American-President%2C-The.html,American-President-The,American-President-The_charinfo.txt
