imdb_id,title,match,alt_id,script_url,notes,filename,id_merged,char_fname
0103772,Basic Instinct,1,,https://imsdb.com/scripts/Basic-Instinct.html,,Basic-Instinct,0103772,Basic-Instinct_charinfo.txt
0096895,Batman,1,,https://imsdb.com/scripts/Batman.html,,Batman,0096895,Batman_charinfo.txt
1217613,Battle Los Angeles,1,,https://imsdb.com/scripts/Battle-Los-Angeles.html,,Battle-Los-Angeles,1217613,Battle-Los-Angeles_charinfo.txt
0118689,Bean,1,,https://imsdb.com/scripts/Bean.html,,Bean,0118689,Bean_charinfo.txt
1365050,Beasts of No Nation,1,,https://imsdb.com/scripts/Beasts-of-No-Nation.html,,Beasts-of-No-Nation,1365050,Beasts-of-No-Nation_charinfo.txt
2125435,Beasts of the Southern Wild,1,,https://imsdb.com/scripts/Beasts-of-the-Southern-Wild.html,,Beasts-of-the-Southern-Wild,2125435,Beasts-of-the-Southern-Wild_charinfo.txt
2771200,Beauty and the Beast,1,,https://imsdb.com/scripts/Beauty-and-the-Beast.html,,Beauty-and-the-Beast,2771200,Beauty-and-the-Beast_charinfo.txt
0115641,Beavis and Butt-Head Do America,1,,https://imsdb.com/scripts/Beavis-and-Butt-head-Do-America.html,,Beavis-and-Butt-head-Do-America,0115641,Beavis-and-Butt-head-Do-America_charinfo.txt
1532503,Beginners,1,,https://imsdb.com/scripts/Beginners.html,,Beginners,1532503,Beginners_charinfo.txt
1595680,Being Human,0,0106379,https://imsdb.com/scripts/Being-Human.html,Newer tv show preferred,Being-Human,0106379,Being-Human_charinfo.txt
0120601,Being John Malkovich,1,,https://imsdb.com/scripts/Being-John-Malkovich.html,,Being-John-Malkovich,0120601,Being-John-Malkovich_charinfo.txt
0078841,Being There,1,,https://imsdb.com/scripts/Being-There.html,,Being-There,0078841,Being-There_charinfo.txt
12921446,The Exorcist,0,0247199,https://imsdb.com/scripts/Believer%2C-The.html,Newer movie preferred,Believer-The,0247199,Believer-The_charinfo.txt
2404181,Belle,1,,https://imsdb.com/scripts/Belle.html,,Belle,2404181,Belle_charinfo.txt
0120603,Beloved,1,,https://imsdb.com/scripts/Beloved.html,,Beloved,0120603,Beloved_charinfo.txt
1412386,The Best Exotic Marigold Hotel,1,,https://imsdb.com/scripts/Best-Exotic-Marigold-Hotel%2C-The.html,,Best-Exotic-Marigold-Hotel-The,1412386,Best-Exotic-Marigold-Hotel-The_charinfo.txt
0094737,Big,1,,https://imsdb.com/scripts/Big.html,,Big,0094737,Big_charinfo.txt
1126590,Big Eyes,1,,https://imsdb.com/scripts/Big-Eyes.html,,Big-Eyes,1126590,Big-Eyes_charinfo.txt
0319061,Big Fish,1,,https://imsdb.com/scripts/Big-Fish.html,,Big-Fish,0319061,Big-Fish_charinfo.txt
5462602,The Big Sick,1,,https://imsdb.com/scripts/Big-Sick%2C-The.html,,Big-Sick-The,5462602,Big-Sick-The_charinfo.txt
0402850,The Big White,1,,https://imsdb.com/scripts/Big-White%2C-The.html,,Big-White-The,0402850,Big-White-The_charinfo.txt
2562232,Birdman or (The Unexpected Virtue of Ignorance),1,,https://imsdb.com/scripts/Birdman.html,,Birdman,2562232,Birdman_charinfo.txt
3739110,The Yellow Birds,0,0056869,https://imsdb.com/scripts/Birds%2C-The.html,Newer movie preferred,Birds-The,0056869,Birds-The_charinfo.txt
0188453,Birthday Girl,1,,https://imsdb.com/scripts/Birthday-Girl.html,,Birthday-Girl,0188453,Birthday-Girl_charinfo.txt
0387877,The Black Dahlia,1,,https://imsdb.com/scripts/Black-Dahlia%2C-The.html,,Black-Dahlia-The,0387877,Black-Dahlia-The_charinfo.txt
1825683,Black Panther,1,,https://imsdb.com/scripts/Black-Panther.html,,Black-Panther,1825683,Black-Panther_charinfo.txt
0096933,Black Rain,1,,https://imsdb.com/scripts/Black-Rain.html,,Black-Rain,0096933,Black-Rain_charinfo.txt
0947798,Black Swan,1,,https://imsdb.com/scripts/Black-Swan.html,,Black-Swan,0947798,Black-Swan_charinfo.txt
7349662,BlacKkKlansman,1,,https://imsdb.com/scripts/BlacKkKlansman.html,,BlacKkKlansman,7349662,BlacKkKlansman_charinfo.txt
1856101,Blade Runner 2049,0,0120611,https://imsdb.com/scripts/Blade.html,Newer popular movie preferred,Blade,0120611,Blade_charinfo.txt
1856101,Blade Runner 2049,0,0083658,https://imsdb.com/scripts/Blade-Runner.html,Newer popular movie preferred,Blade-Runner,0083658,Blade-Runner_charinfo.txt
0359013,Blade: Trinity,1,,https://www.dailyscript.com/scripts/BladeTrinity.txt,,Blade-Trinity,0359013,Blade-Trinity_charinfo.txt
0878804,The Blind Side,1,,https://imsdb.com/scripts/Blind-Side%2C-The.html,,Blind-Side-The,0878804,Blind-Side-The_charinfo.txt
2132285,The Bling Ring,1,,https://imsdb.com/scripts/Bling-Ring%2C-The.html,,Bling-Ring-The,2132285,Bling-Ring-The_charinfo.txt
0115710,Blood and Wine,1,,https://imsdb.com/scripts/Blood-and-Wine.html,,Blood-and-Wine,0115710,Blood-and-Wine_charinfo.txt
0086979,Blood Simple,1,,https://imsdb.com/scripts/Blood-Simple.html,,Blood-Simple,0086979,Blood-Simple_charinfo.txt
0221027,Blow,1,,https://www.dailyscript.com/scripts/blow.html,,Blow,0221027,Blow_charinfo.txt
1120985,Blue Valentine,1,,https://imsdb.com/scripts/Blue-Valentine.html,,Blue-Valentine,1120985,Blue-Valentine_charinfo.txt
